nm_uf,nm_micro,lng,lat
CEARÁ,COREAU,-40.68246894524812,-3.523963029589548
PARANÁ,CORNELIO PROCOPIO,-50.56866861125831,-23.17779613836183
BAHIA,COTEGIPE,-44.18024487390281,-11.894693123512772
SERGIPE,COTINGUIBA,-37.08490092382285,-10.56956108353517
SANTA CATARINA,CRICIUMA,-49.42669279459856,-28.616761470058215
RIO GRANDE DO SUL,CRUZ ALTA,-53.12787706556608,-28.831849584028696
ACRE,CRUZEIRO DO SUL,-72.81341646914503,-7.862995780461816
MATO GROSSO,CUIABA,-55.98298274276613,-15.673359450437987
PARAÍBA,CURIMATAU OCIDENTAL,-36.10540147112897,-6.797126917734363
PARAÍBA,CURIMATAU ORIENTAL,-35.7141438232322,-6.591665032103014
PARANÁ,CURITIBA,-49.314489551585574,-25.42987819712722
SANTA CATARINA,CURITIBANOS,-50.94632409003461,-27.328397168908186
MINAS GERAIS,CURVELO,-44.38675930256971,-18.536405720741296
MINAS GERAIS,DIAMANTINA,-43.561987959692516,-18.16759031765742
TOCANTINS,DIANOPOLIS,-47.29792356298489,-12.072476161711144
MINAS GERAIS,DIVINOPOLIS,-44.87106998731808,-20.03913500098424
MATO GROSSO DO SUL,DOURADOS,-54.96480205864591,-22.1990825311115
SAO PAULO,DRACENA,-51.66124265694787,-21.389809322923426
GOIÁS,ENTORNO DE BRASILIA,-48.11940490204371,-15.770842076040852
BAHIA,ENTRE RIOS,-37.80275863330327,-11.853261566995904
RIO GRANDE DO SUL,ERECHIM,-52.34064896367175,-27.565792802969828
PARAÍBA,ESPERANCA,-35.886866915769296,-7.038125925971398
SERGIPE,ESTANCIA,-37.43219319738201,-11.241144159619227
BAHIA,EUCLIDES DA CUNHA,-39.17891388133954,-10.601609073112417
PARANÁ,FAXINAL,-51.5762190031834,-23.86094363092573
BAHIA,FEIRA DE SANTANA,-39.247618520056406,-12.255488491481955
PERNAMBUCO,FERNANDO DE NORONHA,-32.4351863280529,-3.85202140078181
SAO PAULO,FERNANDOPOLIS,-50.2558072831475,-20.096850707747514
PARANÁ,FLORAI,-52.20420949550571,-23.534256564359715
PIAUÍ,FLORIANO,-43.09314267952999,-7.35806737980899
SANTA CATARINA,FLORIANOPOLIS,-48.57856174887673,-27.55374899875027
MINAS GERAIS,FORMIGA,-45.407293564763165,-20.459048889886603
CEARÁ,FORTALEZA,-38.66715755250542,-3.9484159100814797
PARANÁ,FOZ DO IGUACU,-54.15053068527555,-25.22838336909695
SAO PAULO,FRANCA,-47.434241259667104,-20.357958685757296
PARANÁ,FRANCISCO BELTRAO,-53.201646419075686,-25.97258675829489
SAO PAULO,FRANCO DA ROCHA,-46.60433294830976,-23.33245117285751
RIO GRANDE DO SUL,FREDERICO WESTPHALEN,-53.18651860160531,-27.4140678847029
MINAS GERAIS,FRUTAL,-49.60241730020166,-19.956998987381397
PARÁ,FUROS DE BREVES,-50.4159060132403,-1.2824705634796674
PERNAMBUCO,GARANHUNS,-36.478661355270226,-8.939834507413762
MARANHÃO,GERAIS DE BALSAS,-46.38041784484661,-7.83049733358329
PARANÁ,GOIOERE,-52.858571970408164,-24.373339761002622
GOIÁS,GOIANIA,-49.222246782181564,-16.685395026783777
MINAS GERAIS,GOVERNADOR VALADARES,-41.90117774656726,-18.744626324548914
RIO GRANDE DO SUL,GRAMADO-CANELA,-50.89226313181834,-29.537335842152565
MINAS GERAIS,GRAO MOGOL,-42.88401688304814,-16.58894223878295
RONDÔNIA,GUAJARA-MIRIM,-64.53170540554488,-11.609560153406468
PARÁ,GUAMA,-46.96468085042061,-1.8200701751028425
BAHIA,GUANAMBI,-42.785584981998774,-14.328575812884472
MINAS GERAIS,GUANHAES,-42.809919564150185,-18.739436029473687
RIO GRANDE DO SUL,GUAPORE,-51.90589874822093,-28.802762263370838
PARAÍBA,GUARABIRA,-35.434670957632804,-6.824692831793492
ESPÍRITO SANTO,GUARAPARI,-40.75591177062008,-20.67366768319926
PARANÁ,GUARAPUAVA,-51.972018326729426,-25.478643474364162
SAO PAULO,GUARATINGUETA,-45.08250528070708,-22.68437861168729
SAO PAULO,GUARULHOS,-46.27507162427274,-23.33819233321964
MARANHÃO,GURUPI,-45.789564402959066,-1.8062512252433458
TOCANTINS,GURUPI,-48.789360453169316,-12.005430100885325
PARANÁ,IBAITI,-50.30732118741705,-23.82306632740738
CEARÁ,IBIAPABA,-40.9491839163678,-3.9826549395686084
MATO GROSSO DO SUL,IGUATEMI,-54.38501204493014,-23.036181773852814
CEARÁ,IGUATU,-39.029300620161585,-6.371186317641496
RIO GRANDE DO SUL,IJUI,-53.82344163410382,-28.17263901094004
BAHIA,ILHEUS-ITABUNA,-39.37841105430109,-14.746331382067453
MARANHÃO,IMPERATRIZ,-47.23889000708231,-5.295270123150839
MINAS GERAIS,IPATINGA,-42.57342512748475,-19.356449805552085
GOIÁS,IPORA,-50.86029428203185,-16.39243662833981
CEARÁ,IPU,-40.740451358073685,-4.414258734954017
PARANÁ,IRATI,-50.794547698128504,-25.677838700556713
BAHIA,IRECE,-41.86849720263963,-11.5492423105205
PARAÍBA,ITABAIANA,-35.49058539142638,-7.295392195871492
BAHIA,ITABERABA,-40.442817984073876,-12.217137368953559
MINAS GERAIS,ITABIRA,-43.21454462961402,-19.736644059875484
AMAZONAS,ITACOATIARA,-58.54718180816454,-3.1737946411734694
MINAS GERAIS,ITAGUARA,-44.22575022775674,-20.352015111624276
RIO DE JANEIRO,ITAGUAI,-43.894942601099366,-22.874269558005025
PARÁ,ITAITUBA,-55.99533946338283,-5.194427365431432
SANTA CATARINA,ITAJAI,-48.71476855257275,-26.83747642412893
MINAS GERAIS,ITAJUBA,-45.4112649611338,-22.414871814942657
PERNAMBUCO,ITAMARACA,-34.94955857282189,-7.805004782184031
SAO PAULO,ITANHAEM,-46.93788277175216,-24.2054121867661
PERNAMBUCO,ITAPARICA,-38.44006937846304,-8.735734440829757
SAO PAULO,ITAPECERICA DA SERRA,-46.93071466677127,-23.759444562464864
MARANHÃO,ITAPECURU MIRIM,-44.189046832848966,-3.506289846819666
ESPÍRITO SANTO,ITAPEMIRIM,-40.92968809018458,-21.04433816715018
RIO DE JANEIRO,ITAPERUNA,-41.86306131582008,-21.151564773880583
BAHIA,ITAPETINGA,-40.41557498289588,-15.500241775816034
SAO PAULO,ITAPETININGA,-48.14687395611265,-23.5874047519511
SAO PAULO,ITAPEVA,-49.097392793053025,-23.83175102900849
CEARÁ,ITAPIPOCA,-39.53518140395209,-3.2726159336543668
PARAÍBA,ITAPORANGA,-38.33249408551078,-7.438115475565699
MINAS GERAIS,ITUIUTABA,-49.892461502157,-18.85681383543612
SANTA CATARINA,ITUPORANGA,-49.592295393200104,-27.473919720323302
SAO PAULO,ITUVERAVA,-47.80530144057534,-20.23981011861089
PARANÁ,IVAIPORA,-51.64600430674886,-24.259952460571043
SAO PAULO,JABOTICABAL,-48.44885120443689,-21.155584987634377
PARANÁ,JACAREZINHO,-50.006056571240975,-23.225959626759273
BAHIA,JACOBINA,-40.591992642001664,-11.23422523701729
PARANÁ,JAGUARIAIVA,-49.72975470456459,-24.212215156061518
RIO GRANDE DO SUL,JAGUARAO,-53.26882652497624,-32.06800880367411
TOCANTINS,JALAPAO,-47.43204460818608,-8.836631598112358
SAO PAULO,JALES,-50.84665516132021,-20.225734949339383
MINAS GERAIS,JANAUBA,-43.16005749091948,-15.418796128467815
MINAS GERAIS,JANUARIA,-44.60202667117173,-15.35832394402437
SERGIPE,JAPARATUBA,-36.78112691049764,-10.539902144560507
AMAZONAS,JAPURA,-66.34826931474537,-1.9203804326651153
MATO GROSSO,JAURU,-58.41975140646404,-15.474258731356148
SAO PAULO,JAU,-48.615923610816004,-22.304754092095944
BAHIA,JEQUIE,-40.037598277098496,-13.422073832755006
BAHIA,JEREMOABO,-38.20932129776854,-10.124243355910782
